x_px	y_px	x_cm	y_cm	fname	estimated_food_x_cm	estimated_food_y_cm	estimated_food_x	estimated_food_y	condition	reward_x_cm	reward_y_cm	reward_relative_x	reward_relative_y	fr_span	ar_span	angle_fr	angle_ar	anlge_reloc_start
722.7900000000003	572.18	5.285945945945962	2.820540540540538	flytrax20181123_114304.csv	2.6102702702702683	7.962162162162159	673.29	667.3	rewarded	-9.459459459459461	6.486486486486488	-12.069729729729726	-1.4756756756756726	0.4850941474293652	0.17882794085886275	2.0506267225338712	2.897916859490529	-3.0199339174379576
737.1299999999999	536.2299999999998	6.061081081081076	0.8772972972972859	flytrax20181123_152457.csv	5.9783783783783795	5.935135135135133	735.6	629.8	rewarded	-9.459459459459461	6.486486486486488	-15.437837837837838	0.5513513513513537	0.5636650813319647	0.16451108300548709	1.5871462644259244	2.7947944976692463	3.1058935409104693
647.99	576.5999999999998	1.2427027027027029	3.0594594594594486	flytrax20181123_162408.csv	2.097297297297295	8.827027027027025	663.8	683.3	rewarded	-9.459459459459461	6.486486486486488	-11.556756756756757	-2.3405405405405384	0.4819891564586804	0.242889239438498	1.4236941953632405	2.8316917962964587	-2.9417696958284107
754.6700000000003	585.3199999999998	7.0091891891892075	3.5308108108108014	flytrax20181127_162328.csv	3.72972972972973	7.875675675675678	694.0	665.7	rewarded	-9.459459459459461	6.486486486486488	-13.189189189189188	-1.3891891891891914	0.5195532902956668	0.16224193963403868	2.217355833694313	2.9640103470094985	-3.036651713494284
527.51	586.47	-5.269729729729732	3.5929729729729742	flytrax20181204_163734.csv	-6.7513513513513495	8.086486486486487	500.1	669.6	rewarded	-9.459459459459461	6.486486486486488	-2.7081081081081098	-1.6000000000000003	0.6079885924877221	0.5595405825868238	1.8892954475627397	2.5371893887103183	-2.6079517114460593
765.1800000000003	570.9399999999998	7.577297297297312	2.753513513513504	flytrax20181204_170930.csv	7.0108108108108125	8.0	754.7	668.0	rewarded	-9.459459459459461	6.486486486486488	-16.470270270270273	-1.5135135135135132	0.5377075284299033	0.15559019206313265	1.6783540805066597	2.9258886640328887	-3.0499563486740824
692.55	547.72	3.651351351351349	1.49837837837838	flytrax20181205_182038.csv	0.8810810810810786	6.086486486486487	641.3	632.6	non-rewarded	-9.459459459459461	6.486486486486488	-10.340540540540538	0.39999999999999947	0.5285419407142159	0.19388225948332632	2.1140005643106177	2.7780458113783584	3.102929233250184
617.3666666666667	564.1777777777778	-0.4126126126126122	2.387987987987989	flytrax20181205_184643.csv	0.3729729729729717	7.318918918918919	631.9	655.4	non-rewarded	-9.459459459459461	6.486486486486488	-9.832432432432432	-0.8324324324324319	0.5719653034677293	0.27559834922286713	1.4128062045223797	2.7162213343253603	-3.0571321612530005
590.6999999999998	552.65	-1.854054054054064	1.7648648648648635	flytrax20181207_161754.csv	-1.9513513513513523	6.7513513513513495	588.9	644.9	rewarded	-9.459459459459461	6.486486486486488	-7.5081081081081065	-0.2648648648648626	0.5726988817146484	0.30670076965800114	1.5903060462172631	2.5860016179671983	-3.1063300987523337
627.6099999999999	549.67	0.14108108108107567	1.6037837837837816	flytrax20181207_180201.csv	1.054054054054054	6.5675675675675675	644.5	641.5	rewarded	-9.459459459459461	6.486486486486488	-10.513513513513514	-0.08108108108108159	0.5651019754214451	0.2536383653031053	1.3889024240518797	2.6710996796246818	-3.133880724217275
665.4300000000002	577.8199999999998	2.185405405405415	3.125405405405396	flytrax20181211_170828.csv	-2.5297297297297274	6.4270270270270276	578.2	638.9	rewarded	-9.459459459459461	6.486486486486488	-6.929729729729733	0.05945945945946018	0.4887623043380194	0.22488187859602904	2.530720519614131	2.860597533786017	3.1330125209349347
506.23	568.66	-6.419999999999999	2.6302702702702687	flytrax20181211_183411.csv	-4.600000000000001	7.070270270270267	539.9	650.8	rewarded	-9.459459459459461	6.486486486486488	-4.859459459459458	-0.5837837837837805	0.5982947028093807	0.5828930501029616	1.1817762235016036	2.2382989923508787	-3.022032142853587
662.39	300.49999999999994	2.02108108108108	-11.864864864864867	flytrax20181211_185727.csv	2.616216216216215	7.951351351351353	673.4	667.1	non-rewarded	-9.459459459459461	6.486486486486488	-12.075675675675676	-1.4648648648648663	0.13675281192855654	0.12518250419825122	1.5407726181793056	2.1298244460931723	-3.0208754096283097
683.5	589.01	3.1621621621621623	3.7302702702702697	flytrax20181211_192052.csv	0.6864864864864889	6.583783783783781	637.7	641.8	non-rewarded	-9.459459459459461	6.486486486486488	-10.145945945945947	-0.09729729729729453	0.797230334953832	0.21075961679723093	2.2854132462991927	2.9265951563562536	-3.132003176632837
673.02	388.73999999999984	2.5956756756756745	-7.095135135135144	flytrax20181212_193040.csv	-1.4756756756756733	6.951351351351353	597.7	648.6	non-rewarded	-9.459459459459461	6.486486486486488	-7.983783783783786	-0.4648648648648663	0.185873350638576	0.14938194249908085	1.8529138850627749	2.296721821721274	-3.0834321870252017
667.55	601.65	2.2999999999999976	4.413513513513513	flytrax20181214_174232.csv	-2.1297297297297284	7.064864864864867	585.6	650.7	rewarded	-9.459459459459461	6.486486486486488	-7.329729729729731	-0.57837837837838	0.5509753046156306	0.2283209023322618	2.6022505456119807	2.9671040178039108	-3.062847266150747
757.3100000000003	550.47	7.151891891891908	1.6470270270270284	flytrax20181217_192137.csv	-4.513513513513512	6.9783783783783795	541.5	649.1	non-rewarded	-9.459459459459461	6.486486486486488	-4.945945945945947	-0.4918918918918935	0.21231291815718187	0.15685036080508374	2.7129142819476315	2.8581047120893253	-3.042465068029924
687.5111111111113	560.5222222222221	3.3789789789789886	2.190390390390385	flytrax20181218_164433.csv	2.8216216216216234	8.005405405405407	677.2	668.1	non-rewarded	-9.459459459459461	6.486486486486488	-12.281081081081085	-1.5189189189189198	0.4809929330371535	0.20098623002534016	1.6663523863573138	2.818677694057302	-3.0185379779720756
671.9399999999998	557.8399999999998	2.5372972972972883	2.0454054054053947	flytrax20181218_175537.csv	-1.821621621621624	7.1189189189189195	591.3	651.7	non-rewarded	-9.459459459459461	6.486486486486488	-7.637837837837836	-0.6324324324324335	0.4159519542520433	0.21287837549550426	2.2805796203020265	2.78704549925436	-3.058978569781147
637.3727272727273	590.9545454545455	0.6687960687960689	3.8353808353808376	flytrax20190109_165747.csv	-0.6000000000000012	7.740540540540542	613.9	663.2	rewarded	-9.459459459459461	6.486486486486488	-8.859459459459458	-1.2540540540540557	0.7184456943171763	0.26110755232879385	1.884940018871844	2.885582891573142	-3.0009771019150397
786.04	593.58	8.704864864864861	3.9772972972972993	flytrax20190110_152909.csv	-2.9783783783783795	8.816216216216217	569.9	683.1	non-rewarded	-9.459459459459461	6.486486486486488	-6.48108108108108	-2.3297297297297304	0.21538681097101955	0.14793112759797775	2.7489256363352403	3.00432307252125	-2.7965096906842404
587.1700000000002	527.03	-2.0448648648648557	0.3799999999999985	flytrax20190110_162901.csv	-1.5945945945945943	6.454054054054053	595.5	639.4	non-rewarded	-9.459459459459461	6.486486486486488	-7.864864864864866	0.032432432432433884	0.4597689366864337	0.2852222152305229	1.4968015633080938	2.4526401573276058	3.137468965623912
664.18	580.54	2.117837837837836	3.2724324324324305	flytrax20190110_170616.csv	-0.3405405405405381	7.0	618.7	649.5	rewarded	-9.459459459459461	6.486486486486488	-9.118918918918922	-0.5135135135135132	0.6501122712989225	0.22688262583678484	2.1538298603090142	2.87079510945803	-3.0853390846354305
604.1333333333333	399.8555555555557	-1.1279279279279284	-6.494294294294285	flytrax20190110_173636.csv	-1.4594594594594594	7.513513513513512	598.0	659.0	non-rewarded	-9.459459459459461	6.486486486486488	-8.0	-1.0270270270270254	0.19410515564988454	0.17613069937147838	1.594459533322468	2.14141088136317	-3.013912650515118
548.16	557.0000000000001	-4.153513513513516	2.0000000000000058	flytrax20190110_182810.csv	-2.1135135135135146	6.497297297297299	585.9	640.2	rewarded	-9.459459459459461	6.486486486486488	-7.345945945945945	-0.010810810810812477	0.5791213986739366	0.3995047636319684	1.1449478895843292	2.439682899876694	-3.1401209843064035
856.96	263.16	12.53837837837838	-13.883243243243244	flytrax20190111_164022.csv	1.162162162162162	7.697297297297295	646.5	662.4	non-rewarded	-9.459459459459461	6.486486486486488	-10.62162162162162	-1.2108108108108082	0.11101504988049232	0.09027121956194764	2.0559285277010466	2.394603761449005	-3.0280877099222896
717.45	556.5600000000002	4.997297297297299	1.9762162162162256	flytrax20190111_172208.csv	-1.2108108108108095	6.443243243243246	602.6	639.2	non-rewarded	-9.459459459459461	6.486486486486488	-8.24864864864865	0.04324324324324103	0.3611793079899317	0.17942826533867334	2.5178678498809397	2.839178358385096	3.136350237657902
667.92	552.11	2.3199999999999976	1.7356756756756764	flytrax20190111_190138.csv	0.34594594594594474	6.286486486486484	631.4	636.3	rewarded	-9.459459459459461	6.486486486486488	-9.805405405405404	0.20000000000000284	0.5762012879577331	0.2144269913065953	1.9800807646479823	2.7582333862736275	3.121198568587723
658.3499999999998	544.72	1.8027027027026918	1.3362162162162177	flytrax20190111_192056.csv	-2.3297297297297312	5.756756756756758	581.9	626.5	rewarded	-9.459459459459461	6.486486486486488	-7.1297297297297275	0.7297297297297289	0.4629975668719729	0.22001353499550685	2.322522080360804	2.7126785212621947	3.0395975512620708
588.22	551.6600000000002	-1.988108108108107	1.7113513513513618	flytrax20190116_152245.csv	-3.2378378378378367	6.6108108108108095	565.1	642.3	rewarded	-9.459459459459461	6.486486486486488	-6.221621621621623	-0.1243243243243226	0.5639374372279078	0.3097346859946819	1.8205457481680527	2.5728997206177424	-3.1216126888695896
511.77	500.36	-6.120540540540541	-1.061621621621621	flytrax20190116_160702.csv	-2.410810810810812	5.1891891891891895	580.4	616.0	non-rewarded	-9.459459459459461	6.486486486486488	-7.048648648648647	1.2972972972972974	0.3809741475812541	0.3336103673484237	1.0351849109900524	1.9872718018957758	2.9595804955205076
712.26	557.74	4.716756756756756	2.0400000000000005	flytrax20190116_163246.csv	-0.356756756756758	7.313513513513511	618.4	655.3	non-rewarded	-9.459459459459461	6.486486486486488	-9.102702702702704	-0.8270270270270244	0.3782897634707826	0.18293054647075904	2.3368676732106275	2.8376529744953483	-3.0509863081783637
638.45	534.5	0.7270270270270295	0.7837837837837838	flytrax20190116_180834.csv	-1.1567567567567556	6.102702702702701	603.6	632.9	rewarded	-9.459459459459461	6.486486486486488	-8.302702702702703	0.3837837837837856	0.4994892474483864	0.2336317429046194	1.911178265436804	2.6312336089316197	3.0954015746557433
559.8333333333334	532.0555555555555	-3.5225225225225203	0.651651651651651	flytrax20190116_192744.csv	-0.3675675675675651	7.7351351351351365	618.2	663.1	rewarded	-9.459459459459461	6.486486486486488	-9.091891891891894	-1.2486486486486488	0.3560146271496286	0.3306730374435428	1.151777709960757	2.364867742090901	-3.005109956739447
581.54	465.78	-2.349189189189191	-2.9308108108108124	flytrax20190118_164239.csv	1.0162162162162138	5.929729729729733	643.8	629.7	non-rewarded	-9.459459459459461	6.486486486486488	-10.475675675675674	0.5567567567567542	0.289164151023848	0.2310928149596942	1.2078071171958509	2.2175040210248307	3.0884950354907508
562.3454545454547	360.07272727272726	-3.3867321867321802	-8.644717444717445	flytrax20190118_171511.csv	-1.005405405405407	5.513513513513511	606.4	622.0	non-rewarded	-9.459459459459461	6.486486486486488	-8.454054054054053	0.9729729729729746	0.18937851406572428	0.1665345987016038	1.4041621509737503	1.9524556282436356	3.0270072820254503
598.7666666666668	546.8222222222223	-1.4180180180180126	1.4498498498498544	flytrax20190118_181417.csv	-2.8270270270270244	6.070270270270267	572.7	632.3	non-rewarded	-9.459459459459461	6.486486486486488	-6.632432432432434	0.4162162162162195	0.5937939075511266	0.28883791565432426	1.866790532968972	2.5820338774491427	3.078920152392215
594.0699999999998	430.21	-1.6718918918919017	-4.853513513513515	flytrax20190119_171903.csv	1.3621621621621651	3.7945945945945967	650.2	590.2	non-rewarded	-9.459459459459461	6.486486486486488	-10.821621621621624	2.69189189189189	0.2993481052443103	0.19775344012805116	1.2333783359558526	2.172563578509791	2.8977896306454944
650.63	509.91	1.3854054054054052	-0.5454054054054039	flytrax20190119_174549.csv	3.1297297297297284	4.772972972972972	682.9	608.3	non-rewarded	-9.459459459459461	6.486486486486488	-12.589189189189188	1.7135135135135149	0.5039329696456855	0.2106593628476523	1.2538710464559717	2.56633774418343	3.0063140342359413
